file,bug,bf,loc,hcm
org::eclipse::jdt::core::BindingKey,0,7,82,17.6471
org::eclipse::jdt::core::BufferChangedEvent,0,0,18,6.70304
org::eclipse::jdt::core::CheckDebugAttributes,0,3,50,10.4982
org::eclipse::jdt::core::ClasspathContainerInitializer,0,4,69,7.05208
org::eclipse::jdt::core::ClasspathVariableInitializer,0,0,3,4.07501
org::eclipse::jdt::core::compiler::batch::BatchCompiler,0,1,6,2.2601
org::eclipse::jdt::core::compiler::BuildContext,0,3,56,3.92315
org::eclipse::jdt::core::compiler::CategorizedProblem,0,4,6,8.58795
org::eclipse::jdt::core::compiler::CharOperation,0,20,845,27.6193
org::eclipse::jdt::core::compiler::CompilationParticipant,1,5,24,12.3914
org::eclipse::jdt::core::compiler::CompilationProgress,0,1,0,0
org::eclipse::jdt::core::compiler::InvalidInputException,0,1,3,7.82241
org::eclipse::jdt::core::compiler::ReconcileContext,0,4,44,7.99162
org::eclipse::jdt::core::CompletionContext,1,14,123,10.2625
org::eclipse::jdt::core::CompletionFlags,0,1,6,0
org::eclipse::jdt::core::CompletionProposal,1,19,347,20.2197
org::eclipse::jdt::core::CompletionRequestor,0,10,79,13.4356
org::eclipse::jdt::core::CompletionRequestorAdapter,0,0,42,5.07933
org::eclipse::jdt::core::CorrectionEngine,1,6,128,13.0232
org::eclipse::jdt::core::dom::AbstractTypeDeclaration,0,6,61,4.13346
org::eclipse::jdt::core::dom::Annotation,0,5,53,7.93371
org::eclipse::jdt::core::dom::AnnotationBinding,2,11,190,10.0587
org::eclipse::jdt::core::dom::AnnotationTypeDeclaration,0,6,98,6.84846
org::eclipse::jdt::core::dom::AnnotationTypeMemberDeclaration,0,8,170,6.84846
org::eclipse::jdt::core::dom::AnonymousClassDeclaration,0,7,53,7.95479
org::eclipse::jdt::core::dom::ArrayAccess,0,8,109,7.95479
org::eclipse::jdt::core::dom::ArrayCreation,0,9,110,9.64599
org::eclipse::jdt::core::dom::ArrayInitializer,0,5,45,7.95479
org::eclipse::jdt::core::dom::ArrayType,0,9,87,7.95479
org::eclipse::jdt::core::dom::AssertStatement,0,8,98,7.95479
org::eclipse::jdt::core::dom::Assignment,0,9,132,7.95479
org::eclipse::jdt::core::dom::AST,0,66,804,24.6967
org::eclipse::jdt::core::dom::ASTConverter,1,196,1947,37.2855
org::eclipse::jdt::core::dom::ASTMatcher,0,11,52,7.97103
org::eclipse::jdt::core::dom::ASTNode,0,26,657,14.5995
org::eclipse::jdt::core::dom::ASTParser,1,38,426,28.8029
org::eclipse::jdt::core::dom::ASTRecoveryPropagator,0,7,261,8.11626
org::eclipse::jdt::core::dom::ASTRequestor,0,2,20,2.96868
org::eclipse::jdt::core::dom::ASTSyntaxErrorPropagator,0,6,62,6.89725
