"file","bug","loc","bf","hcm"
"org::eclipse::pde::internal::core::text::toc::TocAnchor ",0,23,0,3.71677
"org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ",0,8,0,6.41569
"org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ",0,28,1,1.76682
"org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ",0,36,1,1.76682
"org::eclipse::pde::internal::ui::tests::macro::FocusCommand ",0,32,0,6.01575
"org::eclipse::pde::internal::ui::build::ProductExportJob ",0,8,8,21.9852
"org::eclipse::pde::internal::ui::PDEUIMessages ",28,0,232,58.1518
"org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ",0,15,1,7.72196
"org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ",0,12,1,6.4354
"org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ",0,15,3,4.51037
"org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor ",1,158,3,7.63864
"org::eclipse::pde::internal::core::builders::SchemaErrorReporter ",0,172,5,10.3932
"org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency ",0,51,2,6.12275
"org::eclipse::pde::internal::ui::editor::target::ArgumentsSection ",0,130,2,8.98492
"org::eclipse::pde::internal::core::product::ArgumentsInfo ",0,210,1,4.87416
"org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope ",0,18,4,5.85726
"org::eclipse::ui::internal::views::log::Messages ",0,0,13,7.94205
"org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage ",3,245,14,22.9998
"org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation ",0,42,1,0
"org::eclipse::pde::internal::core::build::Build ",0,36,0,6.42599
"org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails ",0,252,23,15.7896
"org::eclipse::pde::internal::runtime::spy::dialogs::SpyDialog ",0,82,5,8.96501
"org::eclipse::pde::internal::ui::build::BuildFeatureAction ",0,34,9,18.6755
"org::eclipse::pde::ui::launcher::EquinoxLaunchConfiguration ",1,123,11,21.0216
"org::eclipse::pde::internal::core::exports::FeatureExportInfo ",1,0,2,5.98814
"org::eclipse::pde::internal::ui::launcher::ProgramBlock ",1,118,2,11.1043
"org::eclipse::pde::internal::ui::PDEPlugin ",1,134,8,22.1695
"org::eclipse::pde::internal::core::text::bundle::ExportPackageObject ",0,237,7,14.0182
"org::eclipse::pde::internal::ui::wizards::product::NewProductFileAction ",0,13,0,5.32582
"org::eclipse::pde::internal::ui::search::dependencies::AddNewDependenciesAction ",0,32,0,3.18664
"org::eclipse::pde::internal::ui::tests::macro::NewMacroWizard ",0,20,0,4.68802
"org::eclipse::pde::internal::ui::editor::feature::PluginSection ",0,317,24,16.953
"org::eclipse::pde::internal::core::text::bundle::SingleManifestHeader ",0,44,2,7.10446
"org::eclipse::pde::internal::ui::refactoring::ManifestPackageMoveParticipant ",0,47,2,12.8088
"org::eclipse::pde::internal::core::plugin::Fragment ",0,144,4,12.3547
"org::eclipse::pde::internal::ui::editor::site::SiteEditor ",1,153,8,17.2555
"org::eclipse::pde::internal::core::target::TargetObject ",0,30,1,6.09363
"org::eclipse::pde::ui::launcher::MainTab ",0,96,7,17.0132
"org::eclipse::pde::internal::ui::editor::context::XMLDocumentSetupParticpant ",0,15,1,9.16205
"org::eclipse::pde::internal::ui::editor::build::JARFileFilter ",0,31,1,7.83167
"org::eclipse::pde::internal::ui::templates::osgi::OSGiPreferencesServiceTemplate ",0,29,2,1.56044
"org::eclipse::pde::internal::core::text::toc::TocLink ",0,30,0,3.71677
"org::eclipse::pde::internal::ui::wizards::extension::ExtensionEditorSelectionPage ",0,23,0,9.36692
"org::eclipse::pde::internal::core::text::bundle::BundleClasspathHeader ",0,9,1,5.36088
"org::eclipse::pde::internal::ui::wizards::RenameDialog ",0,104,3,13.5092
"org::eclipse::pde::internal::ui::editor::site::SiteInputContext ",1,110,1,8.39741
"org::eclipse::pde::internal::ui::wizards::target::TargetDefinitionFromTargetOperation ",1,17,1,5.70432
"org::eclipse::pde::internal::ui::refactoring::ResourceMoveParticipant ",0,39,2,5.2122
"org::eclipse::pde::internal::runtime::MessageHelper ",0,18,1,0
"org::eclipse::pde::internal::ui::editor::plugin::ExtensionContentProvider ",0,27,0,1.77712
"org::eclipse::pde::internal::ui::editor::target::JRESection ",0,179,5,12.5528
"org::eclipse::pde::internal::ui::editor::plugin::RuntimePage ",0,34,4,17.1566
"org::eclipse::pde::internal::ui::editor::actions::HyperlinkAction ",0,94,3,5.38823
"org::eclipse::pde::internal::ui::wizards::tools::ExtensionPointMappings ",0,33,0,8.04434
"org::eclipse::pde::internal::ui::wizards::feature::CreateFeatureProjectFromLaunchOperation ",0,26,3,4.41939
"org::eclipse::pde::internal::core::text::plugin::PluginAttribute ",0,69,4,12.3849
"org::eclipse::pde::internal::ui::editor::text::ManifestConfiguration ",0,93,11,16.5679
"org::eclipse::pde::internal::ui::editor::text::ExternalizedStringRule ",0,17,1,1.76682
"org::eclipse::pde::internal::core::site::SiteObject ",0,131,2,14.705
"org::eclipse::pde::internal::core::variables::TargetOSVariableResolver ",0,3,1,1.77712
"org::eclipse::pde::internal::ui::editor::product::PluginSection ",0,432,15,27.4268
"org::eclipse::pde::internal::ui::templates::ide::BuilderTemplate ",0,166,4,6.33209
"org::eclipse::pde::internal::core::natures::PluginProject ",0,11,1,3.19695
"org::eclipse::pde::internal::ui::wizards::plugin::NewLibraryPluginCreationOperation ",1,416,8,21.8404
"org::eclipse::pde::internal::ui::correction::ChooseClassXMLResolution ",0,19,2,9.25652
"org::eclipse::pde::internal::ui::editor::contentassist::XMLElementProposalComputer ",0,129,3,4.385
"org::eclipse::pde::internal::core::WorkspacePluginModelManager ",1,314,9,16.6538
"org::eclipse::pde::internal::ui::editor::toc::actions::TocRemoveObjectAction ",0,46,0,4.33338
"org::eclipse::pde::internal::ui::wizards::plugin::NewPluginProjectWizard ",0,110,7,18.4091
"org::eclipse::pde::internal::ui::editor::build::BuildClasspathSection ",0,212,6,17.8255
"org::eclipse::pde::internal::ui::correction::AddSingletonToSymbolicName ",0,28,2,8.10954
"org::eclipse::pde::internal::ui::views::dependencies::CallersContentProvider ",0,13,3,4.69981
"org::eclipse::pde::internal::runtime::spy::SpyFormToolkit ",0,177,5,7.08412
"org::eclipse::pde::internal::runtime::registry::ServiceReferenceAdapter ",0,15,1,0
"org::eclipse::pde::internal::ui::wizards::exports::BaseExportWizard ",0,45,7,12.0569
"org::eclipse::pde::internal::ui::tests::macro::PlaybackAction ",0,32,0,7.26436
"org::eclipse::pde::internal::ui::editor::plugin::rows::TranslatableAttributeRow ",0,13,1,1.76682
"org::eclipse::pde::internal::ui::wizards::product::NewProductFileWizard ",0,32,1,15.5592
"org::eclipse::pde::internal::ui::wizards::site::NewSiteProjectWizard ",0,34,3,10.2202
"org::eclipse::pde::internal::core::util::Headers ",0,93,1,1.50465
"org::eclipse::pde::internal::core::site::WorkspaceSiteModel ",0,95,2,8.48552
"org::eclipse::pde::internal::ui::editor::schema::SchemaDtdDetailsSection ",0,42,1,1.76682
"org::eclipse::pde::internal::core::util::XMLComponentRegistry ",0,97,1,1.77712
"org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSModel ",0,32,1,4.41258
"org::eclipse::pde::internal::ui::editor::build::SrcSection ",0,43,1,7.72196
"org::eclipse::pde::internal::core::search::PluginJavaSearchUtil ",0,102,5,14.1511
"org::eclipse::pde::internal::core::text::bundle::BundleSymbolicNameHeader ",0,31,2,5.07878
"org::eclipse::pde::internal::ui::editor::site::SiteUndoManager ",0,112,0,4.22329
"org::eclipse::pde::internal::core::text::plugin::DocumentGenericNode ",0,5,1,2.63545
"org::eclipse::pde::internal::core::plugin::Plugin ",0,96,3,11.6831
"org::eclipse::pde::internal::ui::tests::macro::WidgetIdentifier ",0,27,0,1.77712
"org::eclipse::pde::internal::ui::editor::feature::EditorBuildFeatureAction ",0,38,0,7.72196
"org::eclipse::pde::internal::ui::search::ManifestEditorOpener ",0,84,7,10.3576
"org::eclipse::pde::internal::core::feature::Feature ",0,618,13,20.5295
"org::eclipse::pde::internal::core::builders::ElementOccurenceChecker ",0,307,1,3.71865
"org::eclipse::pde::internal::ui::refactoring::ContainerMoveParticipant ",0,3,1,2.97312
"org::eclipse::pde::internal::ui::templates::ide::ViewNewWizard ",0,10,2,1.56044
"org::eclipse::pde::internal::ui::views::dependencies::DependenciesView ",2,332,13,6.85196
"org::eclipse::pde::internal::ui::editor::toc::TocInputContextManager ",0,10,0,2.56656
"org::eclipse::pde::internal::ui::editor::build::RuntimeInfoSection ",0,724,13,18.208
"org::eclipse::pde::internal::ui::launcher::PluginBlock ",2,170,7,12.4581
"org::eclipse::pde::internal::ui::wizards::exports::FeatureDestinationTab ",0,12,0,4.43166
"org::eclipse::pde::internal::ui::editor::feature::InfoSection ",0,338,8,15.1921
"org::eclipse::pde::internal::ui::editor::schema::SchemaOverviewPage ",1,96,3,11.1198
"org::eclipse::pde::internal::ui::nls::ExternalizeStringsOperation ",0,152,9,17.2562
"org::eclipse::pde::internal::core::text::AbstractKeyValueTextChangeListener ",0,40,2,4.53091
"org::eclipse::pde::internal::core::text::bundle::BundleModel ",0,33,3,11.8519
"org::eclipse::pde::internal::ui::templates::rcp::IntroTemplate ",0,211,4,5.87009
"org::eclipse::pde::internal::core::text::plugin::PluginExtensionNode ",0,64,2,8.42497
"org::eclipse::pde::internal::core::text::bundle::ImportPackageObject ",0,38,1,8.47144
"org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSIntroDetails ",0,159,16,15.7896
"org::eclipse::pde::internal::ui::correction::DeletePluginBaseResolution ",0,17,1,0
"org::eclipse::pde::internal::core::text::bundle::Bundle ",0,111,2,10.9041
"org::eclipse::pde::internal::ui::compare::PluginStructureViewer ",1,34,2,3.10682
"org::eclipse::pde::internal::ui::editor::plugin::BundleInputContext ",0,97,1,16.6473
"org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCS ",0,61,1,4.41258
"org::eclipse::pde::internal::ui::editor::PDEFormEditorContributor ",0,120,7,17.0697
"org::eclipse::pde::internal::ui::search::dependencies::UnusedDependenciesAction ",0,11,0,9.36692
"org::eclipse::pde::internal::core::bundle::BundlePluginModel ",0,11,0,6.42599
